"The Mountain-Part I"
"ААА                                                                             "
"ллл                                                                             "
"лллллл O  ллллллллллFFFF                                                        "
"ллллллллллллллллллллPPPPлл                                                      "
"ллллллллллллллллллллTTTTллл  OO                                                 "
"ллллллллллллллллллллллллллллллллл                                               "
"лллллллллллллллллллллллллллллллллллл                                            "
"ллллллллллллллллллллллллллллллллллллл O                                         "
"лллллллллллллллллллллллллллллллллллллллл                                        "
"ллллллллллллллллллллллллллллллллллллллллллл O                                   "
"ллллллллллллллллллллллллллллллллллллллллллллп    O                              "
"ллллллллллллллллллллллллллллллллллллллллллл     лл                              "
"лллллллллллллллллллллллллллллллллллллллллллллл                                  "
"ллллллллллллллллллллллллллллллллллллллллллллллл                                 "
"лллллллллллллллллллллллллллллллллллллллллллллллллFFF                            "
"лллллллллллллллллллллллллллллллллллллллллллллллллPPPл                           "
"лллллллллллллллллллллллллллллллллллллллллллллллллTTTлл                          "
"ллллллллллллллллллллллллллллллллллллллллллллллллллллллл                         "
"лллллллллллллллллллллллллллллллллллллллллллллллллллллллГл                    F  "
"лллллллллллллллллллллллллллллллллллллллллллллллллллллллллл                   T  "
"ллллллллллллллллллллллллллллллллллллллллллллллллллллллллллл                  P  "
"лллллллллллллллллллллллллллллллллллллллллллллллллллллллллллл                 P  "
"лллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллл               ппS"
"ллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллFF             S"
"ллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллPPл            S"
"ллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллTTллллO        S"
"ллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллл     S"
"лллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллллл"
""
""
