          a740g   100    20    80    90   100   100    95    99    99         783    87
          aurel    90    30    80    80   100    80    95    99   100         754    84
         BDS107    80    40    80    90    90    90    95    99    11         675    75
      bert22306    70    50    80    80    90    80    95    99               644    81
          bplus    60    60    70    90    90   100    95    99               664    83
       BSpinoza    50    70    70    80    95    80    95                     540    77
      CharlieJV    40    80    70    90    96    90    95   100               661    83
        ChiaPet    30    90    70    80    97   100    95                     562    80
        Coolman    20   100    70    90    98   100    95   100               673    84









































