 3572 , 13 , 0 , 0 
 240 ,Aldebaran,.87 20.43,4.598 16.509
 482 ,Capella,.08 13.12,5.278 45.997
 552 ,Alnath,1.65 41.05,5.438 28.607
 782 ,Betelgeuse,.45 152.67,5.919 7.407
 1450 ,Castor,1.58 15.59,7.576 31.888
 1479 ,Procyon,.4 3.51,7.655 5.224
 1512 ,Pollux,1.16 10.35,7.755 28.026
 2184 ,Regulus,1.36 24.31,10.139 11.967
 2398 ,Dubhe,1.81 37.67,11.062 61.751
 2819 ,Alioth,1.76 25.3,12.9 55.959
 3031 ,Alkaid,1.85 31.86,13.792 49.313
 3139 ,Arcturus,-.05 11.25,14.261 19.182
 3268 ,Kochab,2.07 40.14,14.845 74.155
