 15289 , 16 , 0 , 2356 
 2356 ,Mira,6.47 128.369,2.322 -2.978
 3530 ,Mirphak,1.79 181.488,3.405 49.861
 3974 ,Alcyone,2.85 112.739,3.791 24.105
 4955 ,Aldebaran,.87 19.964,4.598 16.509
 5747 ,Rigel,.18 236.966,5.242 -8.202
 5796 ,Capella,.08 12.938,5.278 45.999
 6007 ,Bellatrix,1.64 74.515,5.418 6.349
 6034 ,Alnath,1.65 40.176,5.438 28.607
 6310 ,Alnilam,1.69 411.522,5.603 -1.202
 6453 ,Alnitak,1.74 250.626,5.679 -1.943
 6838 ,Betelgeuse,.45 131.061,5.919 7.407
 7525 ,KausAustralis,1.79 44.345,18.402 -34.385
 7839 ,Vega,.03 7.756,18.615 38.782
 9843 ,Altair,.76 5.142,19.846 8.867
 11264 ,Deneb,1.25 990.099,20.69 45.28
 14171 ,Fomalhaut,1.17 7.687,22.96 -29.622
