 4908 , 12 , 2563 , 0 
 53 ,Regulus,1.36 24.31,10.139 11.967
 965 ,Acrux,.77 98.71,12.443 -63.1
 1337 ,Spica,.98 76.56,13.419 -11.162
 1651 ,Arcturus,-.05 11.25,14.261 19.182
 1749 ,Proxima Centauri,1.01 1.29,14.495 -62.68
 2563 ,Antares,1.06 169.77,16.49 -26.433
 2689 ,Atria,1.91 119.76,16.811 -69.028
 3034 ,Shaula,1.62 175.13,17.56 -37.104
 3220 ,Barnard's Star,9.54 1.82,17.963 4.693
 3674 ,Nunki,2.05 69.83,18.921 -26.297
 4083 ,Altair,.76 5.12,19.846 8.868
 4318 ,Peacock,1.94 54.82,20.427 -56.736
